title,url,discounted_price,original_price,User-Agent
Original Silicone Case for Xiaomi 10400mAh Power Bank EBTPH-364528,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/original-silicone-case-for-xiaomi-10400mah-power-bank-p-142782.html,$1.09,$3.65 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
New Wallet 18 in 1 Multi-purpose Credit Card Size Pocket Camping S-361800,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/new-wallet-18-in-1-multi-purpose-credit-card-size-pocket-camping-p-142429.html,$1.84,$9.75 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
"ECOO E04 PLUS 5.5"" IPS FHD MTK6752 8-Core Android 4.4 4G Phone P02-3EOE04",https://web.archive.org/web/20150508183443/http://www.tinydeal.com/ecoo-e04-plus-55-ips-fhd-mtk6752-8-core-android-44-4g-phone-p-146999.html,$186.88,$226.63 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Bottle Shaped Survival Tool Flint Fire Starter Lighter HUI-112592,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/bottle-shaped-survival-tool-flint-fire-starter-lighter-p-66547.html,$0.97,$1.29 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
JIA QI TT1005 2CH Infrared Remote Control Helicopter w Gyro RTF  TRC-377753,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/jia-qi-tt1005-2ch-infrared-remote-control-helicopter-w-gyro-rtf-p-145533.html,$8.39,$25.44 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
DC 12-24V 2.1A/ 1A Dual-USB Car Charger Full Current Car Charger RCG-342553,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/dc-12-24v-21a-1a-dual-usb-car-charger-full-current-car-charger-p-137867.html,$2.55,$3.26 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Flip Case with View Window for MLAIS M52 EPASC-382822,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/flip-case-with-view-window-for-mlais-m52-p-147550.html,$4.74,$7.60 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
S450 3.5mm Foldable Wireless Stereo Bluetooth Headphone w/ TF FM EEP-344468,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/s450-35mm-foldable-wireless-stereo-bluetooth-headphone-w-tf-fm-p-138015.html,$12.78,$26.33 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
6g Mineral Mud Charcoal Anti-Blackhead Nose Mask BCI-276847,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/6g-mineral-mud-charcoal-anti-blackhead-nose-mask-p-118631.html,$0.70,$0.96 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
8GB USB 2.0 Flash Drive USB Pen Drive U Disk EUD-337404,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/8gb-usb-20-flash-drive-usb-pen-drive-u-disk-p-136202.html,$3.38,$4.78 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
0.3mm Ultra-thin Tempered Glass Screen Protector for iPhone 6 EPASP-339285,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/03mm-ultra-thin-tempered-glass-screen-protector-for-iphone-6-p-136465.html,$2.64,$3.54 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Temperature Sensitive LED Faucet Light 3-Color Change HLI-135323,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/temperature-sensitive-led-faucet-light-3-color-change-p-75236.html,$2.74,$3.04 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
Syma X5C-1 4CH 2.4GHz RC Quadcopter 2MP Camera & 4 Batteries KB-375119,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/syma-x5c-1-4ch-24ghz-rc-quadcopter-2mp-camera-4-batteries-p-145050.html,$66.16,$78.82 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
ZO7-600 Selfie Monopod Bluetooth Remote Shutter Suite EVATP-365686,https://web.archive.org/web/20150508183443/http://www.tinydeal.com/zo7-600-selfie-monopod-bluetooth-remote-shutter-suite-p-142968.html,$7.49,$10.19 ,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
